config	method	variant	label	run_dir	result_file	notes
counter_circuit_full_obs_128env_32mb_30M	mappo	cnn_no_state	mappo_cnn_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_mappo_cnn_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-060207_as327c2n_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
counter_circuit_full_obs_128env_32mb_30M	mappo	rnn_no_state	mappo_rnn_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_mappo_rnn_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-063016_wrxf7x3t_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	predicted_ce_no_state	ppo_e3t_predicted_ce_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_ppo_e3t_predicted_ce_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-090053_s5532yeq_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	no_ce_no_state	ppo_e3t_no_ce_no_state_128_32	runs/figure4_128_32_no_state_aug_full_obs_ppo_e3t_no_ce_no_state_aug_full_obs_20260502-12832-no-sa-full-after-current/20260502-182735_3okxpq47_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 no-state full obs
counter_circuit_full_obs_128env_32mb_30M	ppo	cnn_state_aug	ppo_cnn_state_aug_128_32	runs/figure4_128_32_ce8_e3tfirst_ppo_cnn_state_aug_20260501-12832-ce8-e3tfirst/20260501-215253_4xjcr9al_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 state-aug
counter_circuit_full_obs_128env_32mb_30M	ppo	rnn_state_aug	ppo_rnn_state_aug_128_32	runs/figure4_128_32_ce8_e3tfirst_ppo_rnn_state_aug_20260501-12832-ce8-e3tfirst/20260501-222309_5czsw2cu_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 state-aug
counter_circuit_full_obs_128env_32mb_30M	mappo	cnn_state_aug	mappo_cnn_state_aug_128_32	runs/figure4_128_32_ce8_e3tfirst_mappo_cnn_state_aug_20260501-12832-ce8-e3tfirst/20260502-002508_6kvuxr0z_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 state-aug
counter_circuit_full_obs_128env_32mb_30M	mappo	rnn_state_aug	mappo_rnn_state_aug_128_32	runs/figure4_128_32_ce8_e3tfirst_mappo_rnn_state_aug_20260501-12832-ce8-e3tfirst/20260502-005849_iu1ro0br_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 state-aug
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	predicted_ce_state_aug	ppo_e3t_predicted_ce_state_aug_128_32	runs/figure4_128_32_ce8_e3tfirst_ppo_e3t_predicted_ce_state_aug_20260501-12832-ce8-e3tfirst/20260501-115329_ti1v8kbr_counter_circuit_avs-full	reward_summary_cross.csv	controlled 128/32 state-aug
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	aux_only_state_aug	e3t_aux_only_state_aug_128_32	runs/figure4_overnight_e3t_evidence_e3t_aux_only_state_aug_20260503-overnight-e3t-regularizer/20260503-003357_mtyejmy6_counter_circuit_avs-full	reward_summary_cross.csv	overnight evidence suite; CE=True actor not conditioned
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	no_ce_no_condition_state_aug	e3t_no_ce_no_condition_state_aug_128_32	runs/figure4_overnight_e3t_evidence_e3t_no_ce_no_condition_state_aug_20260503-overnight-e3t-regularizer/20260503-093040_7v9pdsuk_counter_circuit_avs-full	reward_summary_cross.csv	overnight evidence suite; CE=False actor not conditioned
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	no_ce_conditioned_state_aug	e3t_no_ce_conditioned_state_aug_128_32	runs/figure4_overnight_e3t_evidence_e3t_no_ce_conditioned_state_aug_20260503-overnight-e3t-regularizer/20260503-100539_2lsf8jzg_counter_circuit_avs-full	reward_summary_cross.csv	overnight evidence suite; CE=False actor conditioned on predicted branch
counter_circuit_full_obs_128env_32mb_30M	ppo_e3t	constant_ce_state_aug_running	e3t_constant_ce_state_aug_128_32_running	runs/figure4_overnight_e3t_evidence_e3t_constant_ce_state_aug_20260503-overnight-e3t-regularizer/20260503-111829_eauc5ei2_counter_circuit_avs-full	reward_summary_cross.csv	overnight evidence suite; manually stopped before result due to 128/32 CE runtime
counter_circuit_full_obs_256env_64mb_30M	ppo	cnn_state_aug_repeat_a	ppo_cnn_state_aug_256_64_a	runs/figure4_256_64_ppo_cnn_state_aug_20260501-015019/20260501-015030_u8j8r3v9_counter_circuit_avs-full	reward_summary_cross.csv	256/64 state-aug run A
counter_circuit_full_obs_256env_64mb_30M	ppo	cnn_state_aug_repeat_b	ppo_cnn_state_aug_256_64_b	runs/figure4_256_64_ppo_cnn_state_aug_20260501-015300/20260501-015314_uicizz78_counter_circuit_avs-full	reward_summary_cross.csv	256/64 state-aug run B
counter_circuit_full_obs_256env_64mb_30M	ppo	rnn_state_aug	ppo_rnn_state_aug_256_64	runs/figure4_256_64_ppo_rnn_state_aug_20260501-015300/20260501-022439_9hsz72hz_counter_circuit_avs-full	reward_summary_cross.csv	256/64 state-aug
counter_circuit_full_obs_256env_64mb_30M	mappo	cnn_state_aug	mappo_cnn_state_aug_256_64	runs/figure4_256_64_mappo_cnn_state_aug_20260501-015300/20260501-042530_p511yrpp_counter_circuit_avs-full	reward_summary_cross.csv	256/64 state-aug
counter_circuit_full_obs_256env_64mb_30M	mappo	rnn_state_aug	mappo_rnn_state_aug_256_64	runs/figure4_256_64_mappo_rnn_state_aug_20260501-015300/20260501-045550_fsjd7e2m_counter_circuit_avs-full	reward_summary_cross.csv	256/64 state-aug
analysis	e3t_mechanism	full_analysis	e3t_mechanism_analysis_full_20260502	runs/e3t_mechanism_analysis_full_20260502-mech-full	-	mechanism diagnostics and perturbation analysis directory
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	predicted_ce_no_state	ppo_e3t_predicted_ce_no_state_64_16	runs/figure4_ppo_e3t_official_predicted_ce_full_20260428-ppo-e3t-ablation/20260428-124613_mz4qrn7j_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb mz4qrn7j: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	constant_ce_no_state	ppo_e3t_constant_ce_no_state_64_16	runs/figure4_ppo_e3t_official_constant_ce_full_20260428-ppo-e3t-ablation/20260428-142809_ju78l6cx_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb ju78l6cx: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	no_ce_no_state	ppo_e3t_no_ce_no_state_64_16	runs/figure4_ppo_e3t_official_no_ce_full_20260428-ppo-e3t-ablation/20260428-155737_0foocnfr_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb 0foocnfr: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	predicted_ce_state_aug	ppo_e3t_predicted_ce_state_aug_64_16	runs/figure4_ppo_e3t_state_aug_predicted_ce_full_20260428-ppo-e3t-state-aug/20260428-163847_50tx0n6v_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb 50tx0n6v: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7 NUM_ITERATIONS=10
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	constant_ce_state_aug	ppo_e3t_constant_ce_state_aug_64_16	runs/figure4_ppo_e3t_state_aug_constant_ce_full_20260428-ppo-e3t-state-aug/20260428-182936_aza8mbkr_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb aza8mbkr: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7 NUM_ITERATIONS=10
counter_circuit_full_obs_64env_16mb_10M	ppo_e3t	no_ce_state_aug	ppo_e3t_no_ce_state_aug_64_16	runs/figure4_ppo_e3t_state_aug_no_ce_full_20260428-ppo-e3t-state-aug/20260428-200739_xsd6oyim_counter_circuit_avs-full	reward_summary_cross.csv	confirmed from wandb xsd6oyim: CNN NUM_ENVS=64 NUM_MINIBATCHES=16 TOTAL_TIMESTEPS=1e7 NUM_ITERATIONS=10
